country,year,cs_mean_d1,cs_mean_d2,cs_se_d1,cs_se_d2
Finland,1999,5.622399,-2.7306292,0.8850492245955169,0.4122406180736135
Finland,2003,5.173832,-2.5667949,0.5010022512719402,0.251063592657918
Finland,2007,6.4915833,-2.4260545,0.827894655863444,0.4304206848144531
Finland,2010,5.2604003,0.500061,1.7979879523678624,1.2327291601525
Finland,2011,3.7503505,-2.2628963,0.46241095993268844,0.23820617456645404
Finland,2014,4.309277,-0.9699311,1.5467168639056796,0.9153895124640804
Finland,2015,6.0440316,0.03779584,0.633580475720579,0.43802786517452086
Germany,1957,6.2755737,0.8695096,1.688138676052385,0.9435836444618956
Germany,1961,4.5451164,0.16816832,1.5838326706725823,0.8499945240956416
Germany,1962,9.110488,2.8583038,2.424194031222719,1.4274776884832237
Germany,1980,6.9217033,0.5536722,1.6716652599958535,0.8980245870955595
Germany,1982,0.2723909,2.1470046,1.0870063098745861,0.9238146374446555
Germany,1983,7.2099133,1.3971595,1.4353489456656223,0.8312405377536911
Germany,1987,6.2863755,-1.0936857,0.9824093723085973,0.4643577807175734
Germany,1991,5.1862993,-0.28312722,0.7227863189381739,0.38097933413598806
Germany,1994,6.494998,0.83307886,0.8322138191946316,0.4611199526223913
Germany,1998,4.4766045,-1.8354954,0.6890532309122708,0.3282159652147033
Germany,2002,4.017075,-2.0132585,0.5699891195160245,0.2713223815059277
Germany,2005,5.518309,-0.21569468,0.4532337787050813,0.24844654250013412
Germany,2009,5.355581,-1.3037606,0.45070411173189845,0.21821434242099297
Germany,2013,4.4149075,-2.029937,0.37963779069358194,0.1762464551682646
Greece,2012,1.336243,7.112058,0.5217279752908244,1.3058228420904026
Greece,2013,1.7985511,6.978801,0.48029558222357704,1.092101643176917
Iceland,1944,8.50877,-1.4908055,1.5723174971188125,1.3114004594013082
Iceland,1947,9.333113,-2.6429074,1.8250805536905925,1.5258197784423828
Iceland,1950,9.143563,-2.4700496,3.308076374115136,2.76174741653409
Iceland,1953,12.155282,-2.1310031,1.9300068380001603,2.4723008976348426
Iceland,1956,7.590164,-1.571141,2.1370903569636415,1.7268857064571568
Iceland,1959,8.442303,0.3545585,3.3924281910654757,3.061307616746419
